module,revisions,code
test\integration\targets\ansible-galaxy-collection\tasks\init.yml,3,64
test\integration\targets\lookup_csvfile\tasks\main.yml,3,69
test\integration\targets\ansible-doc\collections\ansible_collections\testns\testcol\plugins\modules\fakemodule.py,3,9
test\lib\ansible_test\_internal\thread.py,3,31
test\integration\targets\handlers\runme.sh,3,64
test\integration\targets\ansible-test-docker\ansible_collections\ns\col\plugins\modules\win_util_args.ps1,3,7
test\integration\targets\module_defaults\tasks\main.yml,3,71
test\utils\shippable\incidental\remote.sh,3,18
test\integration\targets\fetch\runme.sh,3,16
test\integration\targets\ansible-inventory\tasks\main.yml,3,143
test\integration\targets\blockinfile\tasks\add_block_to_existing_file.yml,3,44
test\integration\targets\yum\tasks\main.yml,3,58
lib\ansible\executor\powershell\async_wrapper.ps1,3,130
test\units\utils\test_version.py,3,266
test\lib\ansible_test\_internal\cli\compat.py,3,353
test\integration\targets\ansible-test\ansible_collections\ns\col\plugins\filter\check_pylint.py,3,5
test\integration\targets\dnf\tasks\filters.yml,3,140
test\integration\targets\collections\collection_root_user\ansible_collections\testns\testcoll\meta\runtime.yml,3,51
test\integration\targets\unarchive\tasks\test_exclude.yml,3,49
test\integration\targets\subversion\runme.sh,3,21
lib\ansible\plugins\action\wait_for_connection.py,3,70
lib\ansible\module_utils\facts\virtual\sysctl.py,3,85
lib\ansible\plugins\vars\host_group_vars.py,3,82
lib\ansible\plugins\action\fetch.py,3,139
test\integration\targets\subversion\roles\subversion\defaults\main.yml,3,10
test\units\playbook\test_helpers.py,3,273
test\units\parsing\vault\test_vault.py,3,642
test\units\module_utils\common\arg_spec\test_module_validate.py,3,43
test\integration\targets\templating_lookups\template_lookups\tasks\main.yml,3,61
